Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 31,457,280
  lm_head                 : 5,242,880
  transformer_matrices    : 58,983,360
  scalars                 : 24
  total                   : 100,926,424
Estimated FLOPs per token: 5.033222e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011059 | lrm: 1.00 | dt: 867ms | tok/sec: 75,567 | mfu: 3.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.895578 | lrm: 1.00 | dt: 755ms | tok/sec: 86,829 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.510854 | lrm: 1.00 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.106956 | lrm: 1.00 | dt: 756ms | tok/sec: 86,693 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.757889 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.469204 | lrm: 1.00 | dt: 756ms | tok/sec: 86,712 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.237580 | lrm: 1.00 | dt: 756ms | tok/sec: 86,687 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.060260 | lrm: 1.00 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.906242 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.759967 | lrm: 1.00 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.630212 | lrm: 1.00 | dt: 756ms | tok/sec: 86,656 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.524231 | lrm: 1.00 | dt: 757ms | tok/sec: 86,623 | mfu: 4.4% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.433988 | lrm: 1.00 | dt: 815ms | tok/sec: 80,447 | mfu: 4.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.364057 | lrm: 1.00 | dt: 757ms | tok/sec: 86,608 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00315 (76.8%) | loss: 3.574499 | lrm: 0.46 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 69s    
step 00316 (77.1%) | loss: 3.573945 | lrm: 0.46 | dt: 756ms | tok/sec: 86,685 | mfu: 4.4% | epoch: 1 | remaining: 68s    
step 00317 (77.3%) | loss: 3.571430 | lrm: 0.45 | dt: 756ms | tok/sec: 86,679 | mfu: 4.4% | epoch: 1 | remaining: 67s    
step 00318 (77.6%) | loss: 3.584432 | lrm: 0.45 | dt: 756ms | tok/sec: 86,707 | mfu: 4.4% | epoch: 1 | remaining: 66s    
step 00319 (77.9%) | loss: 3.582320 | lrm: 0.44 | dt: 756ms | tok/sec: 86,705 | mfu: 4.4% | epoch: 1 | remaining: 66s    
step 00320 (78.1%) | loss: 3.579036 | lrm: 0.44 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 65s    
step 00321 (78.4%) | loss: 3.566968 | lrm: 0.43 | dt: 756ms | tok/sec: 86,660 | mfu: 4.4% | epoch: 1 | remaining: 64s    
step 00322 (78.6%) | loss: 3.556413 | lrm: 0.43 | dt: 756ms | tok/sec: 86,678 | mfu: 4.4% | epoch: 1 | remaining: 63s    
step 00323 (78.9%) | loss: 3.545337 | lrm: 0.42 | dt: 756ms | tok/sec: 86,691 | mfu: 4.4% | epoch: 1 | remaining: 63s    
step 00324 (79.1%) | loss: 3.530650 | lrm: 0.42 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 62s    
step 00325 (79.4%) | loss: 3.526928 | lrm: 0.41 | dt: 756ms | tok/sec: 86,708 | mfu: 4.4% | epoch: 1 | remaining: 61s    
step 00326 (79.6%) | loss: 3.517252 | lrm: 0.41 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 60s    
step 00327 (79.9%) | loss: 3.520584 | lrm: 0.40 | dt: 756ms | tok/sec: 86,695 | mfu: 4.4% | epoch: 1 | remaining: 60s    
step 00328 (80.1%) | loss: 3.505539 | lrm: 0.40 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 59s    
step 00329 (80.4%) | loss: 3.496271 | lrm: 0.39 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 58s    
step 00330 (80.6%) | loss: 3.491491 | lrm: 0.39 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 57s    
step 00331 (80.9%) | loss: 3.491272 | lrm: 0.38 | dt: 756ms | tok/sec: 86,663 | mfu: 4.4% | epoch: 1 | remaining: 57s    
step 00332 (81.1%) | loss: 3.494870 | lrm: 0.38 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 56s    
step 00333 (81.4%) | loss: 3.483906 | lrm: 0.37 | dt: 769ms | tok/sec: 85,263 | mfu: 4.3% | epoch: 1 | remaining: 55s    
step 00334 (81.6%) | loss: 3.477065 | lrm: 0.37 | dt: 803ms | tok/sec: 81,658 | mfu: 4.2% | epoch: 1 | remaining: 54s    
step 00335 (81.9%) | loss: 3.478416 | lrm: 0.36 | dt: 756ms | tok/sec: 86,633 | mfu: 4.4% | epoch: 1 | remaining: 54s    
step 00336 (82.2%) | loss: 3.481472 | lrm: 0.36 | dt: 756ms | tok/sec: 86,680 | mfu: 4.4% | epoch: 1 | remaining: 53s    
step 00337 (82.4%) | loss: 3.488639 | lrm: 0.35 | dt: 756ms | tok/sec: 86,676 | mfu: 4.4% | epoch: 1 | remaining: 52s    
step 00338 (82.7%) | loss: 3.484705 | lrm: 0.35 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 51s    
step 00339 (82.9%) | loss: 3.483321 | lrm: 0.34 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 51s    
step 00340 (83.2%) | loss: 3.480971 | lrm: 0.34 | dt: 756ms | tok/sec: 86,632 | mfu: 4.4% | epoch: 1 | remaining: 50s    
step 00341 (83.4%) | loss: 3.479885 | lrm: 0.33 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 49s    
step 00342 (83.7%) | loss: 3.482141 | lrm: 0.33 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 48s    
step 00343 (83.9%) | loss: 3.488638 | lrm: 0.32 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 47s    
step 00344 (84.2%) | loss: 3.486586 | lrm: 0.32 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 47s    
step 00345 (84.4%) | loss: 3.489500 | lrm: 0.31 | dt: 756ms | tok/sec: 86,712 | mfu: 4.4% | epoch: 1 | remaining: 46s    
step 00346 (84.7%) | loss: 3.502936 | lrm: 0.31 | dt: 756ms | tok/sec: 86,713 | mfu: 4.4% | epoch: 1 | remaining: 45s    
step 00347 (84.9%) | loss: 3.511473 | lrm: 0.30 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 44s    
step 00348 (85.2%) | loss: 3.499869 | lrm: 0.30 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 44s    
step 00349 (85.4%) | loss: 3.495090 | lrm: 0.29 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 43s    
step 00350 (85.7%) | loss: 3.501662 | lrm: 0.29 | dt: 756ms | tok/sec: 86,658 | mfu: 4.4% | epoch: 1 | remaining: 42s    
step 00351 (85.9%) | loss: 3.502680 | lrm: 0.28 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 41s    
step 00352 (86.2%) | loss: 3.497789 | lrm: 0.28 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 41s    
step 00353 (86.4%) | loss: 3.506756 | lrm: 0.27 | dt: 756ms | tok/sec: 86,693 | mfu: 4.4% | epoch: 1 | remaining: 40s    
step 00354 (86.7%) | loss: 3.483285 | lrm: 0.27 | dt: 756ms | tok/sec: 86,690 | mfu: 4.4% | epoch: 1 | remaining: 39s    
step 00355 (86.9%) | loss: 3.475742 | lrm: 0.26 | dt: 756ms | tok/sec: 86,679 | mfu: 4.4% | epoch: 1 | remaining: 38s    
step 00356 (87.2%) | loss: 3.472229 | lrm: 0.26 | dt: 756ms | tok/sec: 86,641 | mfu: 4.4% | epoch: 1 | remaining: 38s    
step 00357 (87.4%) | loss: 3.468535 | lrm: 0.25 | dt: 815ms | tok/sec: 80,441 | mfu: 4.1% | epoch: 1 | remaining: 37s    
step 00358 (87.7%) | loss: 3.465017 | lrm: 0.25 | dt: 756ms | tok/sec: 86,633 | mfu: 4.4% | epoch: 1 | remaining: 36s    
step 00359 (88.0%) | loss: 3.461055 | lrm: 0.24 | dt: 756ms | tok/sec: 86,670 | mfu: 4.4% | epoch: 1 | remaining: 35s    
step 00360 (88.2%) | loss: 3.456876 | lrm: 0.24 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 35s    
step 00361 (88.5%) | loss: 3.457383 | lrm: 0.23 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 34s    
step 00362 (88.7%) | loss: 3.445661 | lrm: 0.23 | dt: 756ms | tok/sec: 86,681 | mfu: 4.4% | epoch: 1 | remaining: 33s    
step 00363 (89.0%) | loss: 3.439860 | lrm: 0.22 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 32s    
step 00364 (89.2%) | loss: 3.444623 | lrm: 0.22 | dt: 756ms | tok/sec: 86,690 | mfu: 4.4% | epoch: 1 | remaining: 32s    
step 00365 (89.5%) | loss: 3.432449 | lrm: 0.21 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 31s    
step 00366 (89.7%) | loss: 3.435437 | lrm: 0.21 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 30s    
step 00367 (90.0%) | loss: 3.460626 | lrm: 0.20 | dt: 756ms | tok/sec: 86,686 | mfu: 4.4% | epoch: 1 | remaining: 29s    
step 00368 (90.2%) | loss: 3.450860 | lrm: 0.20 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 29s    
step 00369 (90.5%) | loss: 3.437859 | lrm: 0.19 | dt: 756ms | tok/sec: 86,669 | mfu: 4.4% | epoch: 1 | remaining: 28s    
step 00370 (90.7%) | loss: 3.432114 | lrm: 0.19 | dt: 756ms | tok/sec: 86,707 | mfu: 4.4% | epoch: 1 | remaining: 27s    
step 00371 (91.0%) | loss: 3.427325 | lrm: 0.18 | dt: 756ms | tok/sec: 86,711 | mfu: 4.4% | epoch: 1 | remaining: 26s    
step 00372 (91.2%) | loss: 3.425183 | lrm: 0.18 | dt: 756ms | tok/sec: 86,711 | mfu: 4.4% | epoch: 1 | remaining: 26s    
step 00373 (91.5%) | loss: 3.430423 | lrm: 0.17 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 25s    
step 00374 (91.8%) | loss: 3.438087 | lrm: 0.16 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 24s    
step 00375 (92.0%) | loss: 3.441070 | lrm: 0.16 | dt: 756ms | tok/sec: 86,681 | mfu: 4.4% | epoch: 1 | remaining: 23s    
step 00376 (92.3%) | loss: 3.436776 | lrm: 0.15 | dt: 756ms | tok/sec: 86,680 | mfu: 4.4% | epoch: 1 | remaining: 22s    
step 00377 (92.5%) | loss: 3.432895 | lrm: 0.15 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 22s    
step 00378 (92.8%) | loss: 3.422115 | lrm: 0.14 | dt: 756ms | tok/sec: 86,668 | mfu: 4.4% | epoch: 1 | remaining: 21s    
step 00379 (93.0%) | loss: 3.416670 | lrm: 0.14 | dt: 756ms | tok/sec: 86,664 | mfu: 4.4% | epoch: 1 | remaining: 20s    
step 00380 (93.3%) | loss: 3.419333 | lrm: 0.13 | dt: 814ms | tok/sec: 80,532 | mfu: 4.1% | epoch: 1 | remaining: 19s    
step 00381 (93.5%) | loss: 3.404012 | lrm: 0.13 | dt: 757ms | tok/sec: 86,616 | mfu: 4.4% | epoch: 1 | remaining: 19s    
step 00382 (93.8%) | loss: 3.391684 | lrm: 0.12 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 18s    
step 00383 (94.0%) | loss: 3.376997 | lrm: 0.12 | dt: 756ms | tok/sec: 86,710 | mfu: 4.4% | epoch: 1 | remaining: 17s    
step 00384 (94.3%) | loss: 3.381323 | lrm: 0.11 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 16s    
step 00385 (94.5%) | loss: 3.378620 | lrm: 0.11 | dt: 756ms | tok/sec: 86,711 | mfu: 4.4% | epoch: 1 | remaining: 16s    
step 00386 (94.8%) | loss: 3.376921 | lrm: 0.10 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 15s    
step 00387 (95.0%) | loss: 3.372813 | lrm: 0.10 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 14s    
step 00388 (95.3%) | loss: 3.370243 | lrm: 0.09 | dt: 756ms | tok/sec: 86,646 | mfu: 4.4% | epoch: 1 | remaining: 13s    
step 00389 (95.5%) | loss: 3.371459 | lrm: 0.09 | dt: 756ms | tok/sec: 86,675 | mfu: 4.4% | epoch: 1 | remaining: 13s    
step 00390 (95.8%) | loss: 3.369603 | lrm: 0.08 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 12s    
step 00391 (96.1%) | loss: 3.378097 | lrm: 0.08 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 11s    
step 00392 (96.3%) | loss: 3.385157 | lrm: 0.07 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 10s    
step 00393 (96.6%) | loss: 3.392053 | lrm: 0.07 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 10s    
step 00394 (96.8%) | loss: 3.396178 | lrm: 0.06 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 9s    
step 00395 (97.1%) | loss: 3.391136 | lrm: 0.06 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 8s    
step 00396 (97.3%) | loss: 3.395883 | lrm: 0.05 | dt: 756ms | tok/sec: 86,710 | mfu: 4.4% | epoch: 1 | remaining: 7s    
step 00397 (97.6%) | loss: 3.407835 | lrm: 0.05 | dt: 756ms | tok/sec: 86,659 | mfu: 4.4% | epoch: 1 | remaining: 7s    
step 00398 (97.8%) | loss: 3.401492 | lrm: 0.04 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 6s    
step 00399 (98.1%) | loss: 3.391619 | lrm: 0.04 | dt: 756ms | tok/sec: 86,718 | mfu: 4.4% | epoch: 1 | remaining: 5s    
step 00400 (98.3%) | loss: 3.387030 | lrm: 0.03 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 4s    
step 00401 (98.6%) | loss: 3.374850 | lrm: 0.03 | dt: 756ms | tok/sec: 86,686 | mfu: 4.4% | epoch: 1 | remaining: 4s    
step 00402 (98.8%) | loss: 3.374836 | lrm: 0.02 | dt: 756ms | tok/sec: 86,682 | mfu: 4.4% | epoch: 1 | remaining: 3s    
step 00403 (99.1%) | loss: 3.380448 | lrm: 0.02 | dt: 789ms | tok/sec: 83,092 | mfu: 4.2% | epoch: 1 | remaining: 2s    
step 00404 (99.3%) | loss: 3.381973 | lrm: 0.01 | dt: 782ms | tok/sec: 83,824 | mfu: 4.3% | epoch: 1 | remaining: 1s    
step 00405 (99.6%) | loss: 3.381183 | lrm: 0.01 | dt: 756ms | tok/sec: 86,675 | mfu: 4.4% | epoch: 1 | remaining: 0s    
step 00406 (99.9%) | loss: 3.392129 | lrm: 0.00 | dt: 756ms | tok/sec: 86,655 | mfu: 4.4% | epoch: 1 | remaining: 0s    
---
val_bpb:          1.206249
training_seconds: 300.3
total_seconds:    394.4
peak_vram_mb:     18635.5
mfu_percent:      4.41
total_tokens_M:   26.7
num_steps:        407
num_params_M:     100.9
depth:            12
